TaskID;Subject;Name;Workload;Who;StartDate;EndDate;Priority;PredecessorTaskID
12;Telnet taux technique;Dev + UAT;3;ACH;;;1100;
4;Réserves corporates;Injecter les données en DEV;1;PTI;;;1095;
14;Chargements initiaux;Agresso;3;QPI;;;1090;
31;BAU;Injection de la clôture;1;PTI;;;1087;
15;Chargements initiaux;Vie;15;PTI;;;1085;
5;Réserves corporates;Développer les flux datamarts;1;DEL;;;1075;4
39;Scoring;Préparation et Déploiement en UAT;2;CGA;;;1070;
40;Scoring;Chargement datamart en UAT;2;CGA;;;1060;39
41;Scoring;Création univers scoring;1;EGA;;;1050;
42;Scoring;Création rapports scoring;2;MWA;;;1040;41
43;Scoring;Validation rapports scoring;2;MWA;;;1030;42
44;Scoring;Analyse des erreurs;2;CGA;;;1020;43
45;Scoring;Préparation et déploiement en production univers et rapports;1;CGA;;;1010;44
46;Scoring;Préparation et déploiement en production datamart;1;CGA;;;1005;45
1;PM;PM;125;PM;;;999;
13;Sprint;Préparation de l'environnement;2;ACH;;;995;
2;Datamart global;Développement des adaptations;2;DEL;;;990;4
3;Données réserves additionnelles;Développement des adaptations;2;DEL;;;985;4
7;Sprint;Préparation déploiement en UAT;2;ACH;;;982;5
8;Sprint ;Déployer en UAT et injecter les données;3;ACH;;;980;7
9;Sprint;Support UAT;3;ACH;;;970;8
6;Réserves corporates;Adapter l'univers;1;EGA;;;960;5
10;Réserves corporates;Tester et valider;4;LZI;;;950;5
25;Données réserves additionnelles;Adaptation univers;2;EGA;;;942;3
22;Données réserves additionnelles;Tester et valider Corporate;3;SLA;;;940;3
23;Données réserves additionnelles;Tester et valider Invest;3;AHI;;;930;3
24;Données réserves additionnelles;Tester et valider Classique;3;OGO;;;920;3
21;Datamart global;Création univers;5;EGA;;;915;2
20;Datamart global;Tester et valider (définir méthode);10;SLA;;;910;2
16;BAU;BAU;300;BAU;;;900;
33;EDB;Gouvernance et fonctionnement en 2017;1;OVA;;;900;
47;BAU;Mouvements non visibles hors octobre 2016;10;QPI;;;895;
11;Sprint ;Déployer en production;1;PTI;;;890;10
17;Support prod 2016;Support au métier;5;PTI;;;850;
27;Datamart comptabilité;Contenu fichier mapping compte;2;EGA;;;820;
34;CR (a analyser);Adaptation framework data quality - besoins;2;EGA;;;790;
58;CR (a analyser);Adaptation framework data quality - technique;20;ACH;;;780;
60;CR (a analyser);Adaptation framework data quality - tests;2;EGA;;;770;
37;CR (a analyser);Mise à jour des fichiers référentiels;5;EGA;;;760;
59;CR;Injection des nouveaux référentiels;1;PTI;;;750;
29;BAU;Opérationnalisation dqi, kpi etc;10;ACH;;;700;11
50;Rapports initiaux;Développement des rapports;5;MWA;;;690;
51;Rapports initiaux;Extractions de comparaison;5;PTI;;;680;
52;Rapports initiaux;Analyse des erreurs;5;PTI;;;670;51
53;Rapports initiaux;Corrections;15;PTI;;;650;52
54;Rapports initiaux;Préparation et déploiement UAT;4;PTI;;;640;53
55;Rapports initiaux;Support UAT;5;PTI;;;630;54
56;Rapports initiaux;Déploiement production;1;PTI;;;620;55
32;BAU;Gestion des droits d'accès;3;CGA;;;550;
36;CR;Prestations hors système sources;15;PTI;;;545;
30;BAU;automatisation de l'injection des clôtures;15;ACH;;;500;18
35;CR;Reprise historique (version d'un record);30;CGA;;;500;
48;Corrections;Primes techniques (inventaires, commerciales...) erronées;10;ACH;;;490;
49;Corrections;Issue comptabilité;10;PTI;;;480;
28;DQI;DQI;62,5;ACH;;;475;
19;Formation SAP BO administration;Formation SAP BO administration;5;CGA;;;450;
57;IT;Merge framework;10;CGA;;;400;
26;KPI;KPI AXA;60;ACH;;;300;
38;BAU;Validation fonctionnelle des chargements;15;PTI;;;300;
18;Formalisation EX RM WIN AIX;Formalisation EX RM WIN AIX;3;ACH;;;200;
